"focal_rte","migclass","excl_dir","dir_core","dir_diff","n_spp","mig_plot"
21003,"long distance",0.633567865031354,0.6133939,-0.0201739650313538,123,"Long Distance (123)"
21004,"resident",0.575506783968244,0.6133939,0.0378871160317564,72,"Resident (72)"
21004,"short distance",0.622797145693924,0.6133939,-0.00940324569392359,78,"Short Distance (78)"
21004,"long distance",0.633567865031354,0.6133939,-0.0201739650313538,123,"Long Distance (123)"
21010,"resident",0.566834044406881,0.6080633,0.0412292555931191,72,"Resident (72)"
21010,"short distance",0.619599070881481,0.6080633,-0.0115357708814814,78,"Short Distance (78)"
21010,"long distance",0.629195015252989,0.6080633,-0.0211317152529886,123,"Long Distance (123)"
21109,"resident",0.575506783968244,0.6133939,0.0378871160317564,72,"Resident (72)"
21109,"short distance",0.622797145693924,0.6133939,-0.00940324569392359,78,"Short Distance (78)"
21109,"long distance",0.633567865031354,0.6133939,-0.0201739650313538,123,"Long Distance (123)"
25010,"resident",0.587249125175476,0.5779092,-0.00933992517547633,72,"Resident (72)"
25010,"short distance",0.542899701962762,0.5779092,0.0350094980372383,78,"Short Distance (78)"
25010,"long distance",0.602156176131138,0.5779092,-0.0242469761311381,123,"Long Distance (123)"
25037,"resident",0.5719736058006,0.565725,-0.00624860580060038,72,"Resident (72)"
25037,"short distance",0.536502261195512,0.565725,0.0292227388044878,78,"Short Distance (78)"
25037,"long distance",0.587191714764094,0.565725,-0.0214667147640936,123,"Long Distance (123)"
25053,"resident",0.611425808856968,0.6014942,-0.00993160885696776,72,"Resident (72)"
25053,"short distance",0.57774509544053,0.6014942,0.0237491045594699,78,"Short Distance (78)"
25053,"long distance",0.615252994326172,0.6014942,-0.0137587943261716,123,"Long Distance (123)"
25062,"resident",0.580618485517098,0.5690761,-0.011542385517098,72,"Resident (72)"
25062,"short distance",0.537784148204779,0.5690761,0.0312919517952208,78,"Short Distance (78)"
25062,"long distance",0.585034418139369,0.5690761,-0.0159583181393689,123,"Long Distance (123)"
27004,"resident",0.566878769049025,0.5633626,-0.0035161690490253,72,"Resident (72)"
27004,"short distance",0.532154900600913,0.5633626,0.0312076993990866,78,"Short Distance (78)"
27004,"long distance",0.589602348409426,0.5633626,-0.0262397484094262,123,"Long Distance (123)"
27005,"resident",0.561192233003859,0.5603732,-0.000819033003859437,72,"Resident (72)"
27005,"short distance",0.541953430011411,0.5603732,0.0184197699885889,78,"Short Distance (78)"
27005,"long distance",0.576981761797655,0.5603732,-0.0166085617976554,123,"Long Distance (123)"
27010,"resident",0.573455195853993,0.5668266,-0.00662859585399311,72,"Resident (72)"
