"focal_rte","spp_excl_dir","Trophic.Group","excl_dir","dir_diff"
4129,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4129,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4196,0.325613985031856,"omnivore",0.317623152189811,0.00799083284204527
4196,0.325613985031856,"insectivore",0.317807730863598,0.00780625416825836
4196,0.325613985031856,"nectarivore",0.318622205121928,0.00699177990992811
4196,0.325613985031856,"insct/om",0.317679316790319,0.00793466824153716
4196,0.325613985031856,"granivore",0.323114317935181,0.00249966709667504
4196,0.325613985031856,"herbivore",0.318810317433794,0.0068036675980625
6052,0.421891863626869,"granivore",0.422678404146638,-0.000786540519769396
6052,0.421891863626869,"insectivore",0.391524027420091,0.0303678362067782
6052,0.421891863626869,"nectarivore",0.413783014395812,0.00810884923105654
6052,0.421891863626869,"omnivore",0.419523697993566,0.00236816563330317
6052,0.421891863626869,"insct/om",0.414868713239656,0.00702315038721324
6052,0.421891863626869,"herbivore",0.415777307761465,0.00611455586540421
7020,0.52235863139242,"granivore",0.474451474321558,0.0479071570708616
7020,0.52235863139242,"insectivore",0.497811453994547,0.024547177397873
7020,0.52235863139242,"omnivore",0.467268124562326,0.0550905068300938
7020,0.52235863139242,"nectarivore",0.474163766324226,0.0481948650681942
7020,0.52235863139242,"insct/om",0.463807066337421,0.0585515650549992
7023,0.52235863139242,"granivore",0.474451474321558,0.0479071570708616
7023,0.52235863139242,"insectivore",0.497811453994547,0.024547177397873
7023,0.52235863139242,"omnivore",0.467268124562326,0.0550905068300938
7023,0.52235863139242,"nectarivore",0.474163766324226,0.0481948650681942
7023,0.52235863139242,"insct/om",0.463807066337421,0.0585515650549992
7026,0.52235863139242,"granivore",0.474451474321558,0.0479071570708616
7026,0.52235863139242,"insectivore",0.497811453994547,0.024547177397873
7026,0.52235863139242,"omnivore",0.467268124562326,0.0550905068300938
7026,0.52235863139242,"nectarivore",0.474163766324226,0.0481948650681942
7026,0.52235863139242,"insct/om",0.463807066337421,0.0585515650549992
7028,0.52235863139242,"granivore",0.474451474321558,0.0479071570708616
7028,0.52235863139242,"insectivore",0.497811453994547,0.024547177397873
7028,0.52235863139242,"omnivore",0.467268124562326,0.0550905068300938
7028,0.52235863139242,"nectarivore",0.474163766324226,0.0481948650681942
7028,0.52235863139242,"insct/om",0.463807066337421,0.0585515650549992
11007,0.324854584453501,"omnivore",0.314399408411336,0.0104551760421649
11007,0.324854584453501,"insectivore",0.312124012285079,0.0127305721684219
11007,0.324854584453501,"nectarivore",0.315043098983473,0.00981148547002764
11007,0.324854584453501,"insct/om",0.312675895247902,0.012178689205599
11007,0.324854584453501,"granivore",0.320280397516579,0.00457418693692163
11007,0.324854584453501,"herbivore",0.315235364517895,0.00961921993560555
11009,0.299855012079169,"insectivore",0.301131986897823,-0.0012769748186543
