"aou","CommonName","sci_name","Breeding.Biome","migclass","Foraging","Trophic.Group"
7350,"Black-capped Chickadee","Poecile atricapillus","Forest Generalist","resid","foliage glean","insectivore"
7380,"Mountain Chickadee","Poecile gambeli","Western Forest","resid","foliage glean","insectivore"
7540,"Townsend's Solitaire","Myadestes townsendi","Western Forest","short","hawks","insectivore"
4010,"Three-toed Woodpecker",NA,NA,"resid","bark glean","insectivore"
4910,"Clark's Nutcracker","Nucifraga columbiana","Western Forest","resid","foliage glean","omnivore"
6610,"Blackpoll Warbler","Setophaga striata","Boreal Forest","neotrop","foliage glean","insectivore"
7400,"Boreal Chickadee","Poecile hudsonicus","Boreal Forest","resid","foliage glean","insectivore"
5950,"Rose-breasted Grosbeak","Pheucticus ludovicianus","Eastern Forest","neotrop","foliage glean","insectivore"
7560,"Veery","Catharus fuscescens","Forest Generalist","neotrop","ground glean","insectivore"
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius","Eastern Forest","short","bark glean","insectivore"
5580,"White-throated Sparrow","Zonotrichia albicollis","Boreal Forest","short","ground glean","insct/om"
6260,"Philadelphia Vireo","Vireo philadelphicus","Boreal Forest","neotrop","hover/glean","insectivore"
6780,"Connecticut Warbler","Oporornis agilis","Boreal Forest","neotrop","ground glean","insectivore"
5140,"Evening Grosbeak","Coccothraustes vespertinus","Boreal Forest","short","ground glean","insct/om"
5170,"Purple Finch","Haemorhous purpureus","Forest Generalist","short","ground glean","granivore"
5491,"Nelson's Sharp-tailed Sparrow",NA,NA,"short","ground glean","insct/om"
5840,"Swamp Sparrow","Melospiza georgiana","Wetland","short","ground glean","insct/om"
6070,"Western Tanager","Piranga ludoviciana","Western Forest","neotrop","foliage glean","insectivore"
6790,"Mourning Warbler","Geothlypis philadelphia","Boreal Forest","neotrop","foliage glean","insectivore"
5960,"Black-headed Grosbeak","Pheucticus melanocephalus","Western Forest","neotrop","foliage glean","insectivore"
6291,"Plumbeous Vireo","Vireo plumbeus","Western Forest","neotrop","foliage glean","insectivore"
3080,"Sharp-tailed Grouse","Tympanuchus phasianellus","Grassland","resid","ground glean","herbivore"
4570,"Say's Phoebe","Sayornis saya","Habitat Generalist","short","hawks","insectivore"
4940,"Bobolink","Dolichonyx oryzivorus","Grassland","neotrop","ground glean","insct/om"
4040,"Williamson's Sapsucker","Sphyrapicus thyroideus","Western Forest","short","bark glean","insectivore"
4320,"Broad-tailed Hummingbird","Selasphorus platycercus","Western Forest","neotrop","hover/glean","nectarivore"
5180,"Cassin's Finch","Haemorhous cassinii","Western Forest","short","ground glean","granivore"
6292,"Cassin's Vireo","Vireo cassinii","Western Forest","neotrop","foliage glean","insectivore"
6640,"Grace's Warbler","Setophaga graciae","Western Forest","neotrop","foliage glean","insectivore"
7300,"Pygmy Nuthatch","Sitta pygmaea","Western Forest","resid","bark glean","insectivore"
7670,"Western Bluebird","Sialia mexicana","Western Forest","short","hawks","insectivore"
3850,"Greater Roadrunner","Geococcyx californianus","Aridlands","resid","ground glean","insectivore"
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus","Grassland","neotrop","hawks","insectivore"
6330,"Bell's Vireo","Vireo bellii","Aridlands","neotrop","foliage glean","insectivore"
6580,"Cerulean Warbler","Setophaga cerulea","Eastern Forest","neotrop","foliage glean","insectivore"
6010,"Painted Bunting","Passerina ciris","Eastern Forest","neotrop","ground glean","insct/om"
4220,"Black Swift","Cypseloides niger","Western Forest","neotrop","aerial foraging","insectivore"
5880,"Spotted Towhee","Pipilo maculatus","Western Forest","short","ground glean","insct/om"
6450,"Nashville Warbler","Oreothlypis ruficapilla","Boreal Forest","neotrop","foliage glean","insectivore"
6650,"Black-throated Gray Warbler","Setophaga nigrescens","Western Forest","neotrop","foliage glean","insectivore"
3120,"Band-tailed Pigeon","Patagioenas fasciata","Western Forest","neotrop","foliage glean","granivore"
4240,"Vaux's Swift","Chaetura vauxi","Western Forest","neotrop","aerial foraging","insectivore"
5080,"Bullock's Oriole","Icterus bullockii","Western Forest","neotrop","foliage glean","insectivore"
6570,"Magnolia Warbler","Setophaga magnolia","Boreal Forest","neotrop","hover/glean","insectivore"
4360,"Calliope Hummingbird","Selasphorus calliope","Western Forest","neotrop","hover/glean","nectarivore"
5090,"Rusty Blackbird","Euphagus carolinus","Boreal Forest","short","ground glean","insectivore"
2940,"California Quail","Callipepla californica","Aridlands","resid","ground glean","granivore"
4080,"Lewis's Woodpecker","Melanerpes lewis","Western Forest","short","hawks","insectivore"
4691,"Gray Flycatcher","Empidonax wrightii","Western Forest","neotrop","hawks","insectivore"
7150,"Rock Wren","Salpinctes obsoletus","Aridlands","short","ground glean","insectivore"
7190,"Bewick's Wren","Thryomanes bewickii","Aridlands","short","ground glean","insectivore"
7430,"Bushtit","Psaltriparus minimus","Western Forest","resid","foliage glean","insectivore"
4250,"White-throated Swift","Aeronautes saxatalis","Aridlands","neotrop","aerial foraging","insectivore"
2920,"Mountain Quail","Oreortyx pictus","Western Forest","resid","ground glean","granivore"
4070,"Acorn Woodpecker","Melanerpes formicivorus","Western Forest","resid","bark glean","omnivore"
4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Aridlands","neotrop","hover/glean","insectivore"
4580,"Black Phoebe","Sayornis nigricans","Wetland","resid","hawks","insectivore"
5300,"Lesser Goldfinch","Spinus psaltria","Western Forest","short","foliage glean","granivore"
6320,"Hutton's Vireo","Vireo huttoni","Western Forest","resid","foliage glean","insectivore"
