"country","stateroute","stops","common_label","deltaCover"
"US",14170,"1-25","Grasslands",-0.00201323708838585
"US",14170,"26-50","Forest",0.00533832872031796
"US",14171,"1-25","Shrubland",-0.00203513039345202
"US",14171,"26-50","Urban",0.0019658778428119
"US",14175,"1-25","Shrubland",0.00288014495987956
"US",14175,"26-50","Shrubland",0.00605636192339484
"US",14176,"1-25","Grasslands",0.0078346451519651
"US",14176,"26-50","Forest",-0.00356076617351892
"US",14177,"1-25","Barren",-0.00995462539904074
"US",14177,"26-50","Barren",-0.0138813152555792
"US",14179,"1-25","Shrubland",0.0195588361514033
"US",14179,"26-50","Shrubland",0.00875536985049293
"US",14180,"1-25","Forest",-0.00825624792657304
"US",14180,"26-50","Grasslands",-0.0031138972361471
"US",14181,"1-25","Agricultural",-0.00255476476569
"US",14181,"26-50","Shrubland",0.0117999537773046
"US",14182,"1-25","Urban",0.00196755202967966
"US",14182,"26-50","Grasslands",-0.00462622296061355
"US",14185,"1-25","Forest",-0.00138443426700932
"US",14185,"26-50","Shrubland",0.0010796261682243
"US",14186,"1-25","Agricultural",-0.00949644497363496
"US",14186,"26-50","Agricultural",-0.0183899891914932
"US",14187,"1-25","Grasslands",-0.00320144734260315
"US",14187,"26-50","Urban",0.00245783920729995
"US",14188,"1-25","Forest",-0.00779385102688108
"US",14188,"26-50","Shrubland",0.00383110789204176
"US",14189,"1-25","Grasslands",-0.0038074675203812
"US",14189,"26-50","Grasslands",-0.00764723244328132
"US",14190,"1-25","Forest",-0.00539869224225187
"US",14190,"26-50","Shrubland",0.00827785912897548
"US",14191,"1-25","Forest",-0.00143503804295483
"US",14191,"26-50","Shrubland",0.00551919675729986
"US",14193,"1-25","Shrubland",0.00675486101396854
"US",14193,"26-50","Shrubland",0.00985859457709865
"US",14195,"1-25","Barren",-0.00170528291588735
"US",14195,"26-50","Shrubland",0.006837462349145
"US",14196,"1-25","Grasslands",-0.00566434259445741
"US",14196,"26-50","Grasslands",-0.00320039845343872
"US",14197,"1-25","Urban",0.00343701644839488
"US",14197,"26-50","Urban",0.00341464172422258
"US",14198,"1-25","Agricultural",0.0048898583870668
"US",14198,"26-50","Agricultural",0.0028335281913348
"US",14199,"1-25","Forest",-0.00124508727123556
"US",14199,"26-50","Shrubland",0.00191019205020775
"US",14201,"1-25","Forest",-0.0154200342543402
"US",14201,"26-50","Barren",-0.000813894639981598
"US",14203,"1-25","Grasslands",-0.0067617655617134
"US",14203,"26-50","Agricultural",-0.005460253218841
"US",14204,"1-25","Grasslands",-0.00253416149068322
"US",14204,"26-50","Grasslands",-0.00279647287942504
"US",14213,"1-25","Forest",-0.00447987775091752
"US",14213,"26-50","Forest",-0.0161378483061626
"US",14220,"1-25","Grasslands",0.00946071547493232
