"SPEC","COMMONNAME","SCINAME","SPEC6","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species"
"DCFL","Dusky-capped Flycatcher","Myiarchus tuberculifer","MYITUB",897,4550,"Tyran olivâtre","Myiarchus tuberculifer","Passeriformes","Tyrannidae","Myiarchus","tuberculifer"
"ATFL","Ash-throated Flycatcher","Myiarchus cinerascens","MYICIN",898,4540,"Tyran à gorge cendrée","Myiarchus cinerascens","Passeriformes","Tyrannidae","Myiarchus","cinerascens"
"GCFL","Great Crested Flycatcher","Myiarchus crinitus","MYICRI",900,4520,"Tyran huppé","Myiarchus crinitus","Passeriformes","Tyrannidae","Myiarchus","crinitus"
"BCFL","Brown-crested Flycatcher","Myiarchus tyrannulus","MYITYR",901,4530,"Tyran de Wied","Myiarchus tyrannulus","Passeriformes","Tyrannidae","Myiarchus","tyrannulus"
"GKIS","Great Kiskadee","Pitangus sulphuratus","PITSUL",904,4490,"Tyran quiquivi","Pitangus sulphuratus","Passeriformes","Tyrannidae","Pitangus","sulphuratus"
"SBFL","Sulphur-bellied Flycatcher","Myiodynastes luteiventris","MYILUT",908,4510,"Tyran tigré","Myiodynastes luteiventris","Passeriformes","Tyrannidae","Myiodynastes","luteiventris"
"TRKI","Tropical Kingbird","Tyrannus melancholicus","TYRMEL",912,4460,"Tyran mélancolique","Tyrannus melancholicus","Passeriformes","Tyrannidae","Tyrannus","melancholicus"
"COKI","Couch's Kingbird","Tyrannus couchii","TYRCOU",913,4461,"Tyran de Couch","Tyrannus couchii","Passeriformes","Tyrannidae","Tyrannus","couchii"
"CAKI","Cassin's Kingbird","Tyrannus vociferans","TYRVOC",915,4480,"Tyran de Cassin","Tyrannus vociferans","Passeriformes","Tyrannidae","Tyrannus","vociferans"
"TBKI","Thick-billed Kingbird","Tyrannus crassirostris","TYRCRA",916,4451,"Tyran à bec épais","Tyrannus crassirostris","Passeriformes","Tyrannidae","Tyrannus","crassirostris"
"WEKI","Western Kingbird","Tyrannus verticalis","TYRVER",917,4470,"Tyran de l'Ouest","Tyrannus verticalis","Passeriformes","Tyrannidae","Tyrannus","verticalis"
"EAKI","Eastern Kingbird","Tyrannus tyrannus","TYRTYR",918,4440,"Tyran tritri","Tyrannus tyrannus","Passeriformes","Tyrannidae","Tyrannus","tyrannus"
"GRAK","Gray Kingbird","Tyrannus dominicensis","TYRDOM",919,4450,"Tyran gris","Tyrannus dominicensis","Passeriformes","Tyrannidae","Tyrannus","dominicensis"
"STFL","Scissor-tailed Flycatcher","Tyrannus forficatus","TYRFOR",922,4430,"Tyran à longue queue","Tyrannus forficatus","Passeriformes","Tyrannidae","Tyrannus","forficatus"
"FTFL","Fork-tailed Flycatcher","Tyrannus savana","TYRSAV",923,4420,"Tyran des savanes","Tyrannus savana","Passeriformes","Tyrannidae","Tyrannus","savana"
"OSFL","Olive-sided Flycatcher","Contopus cooperi","CONCOO",866,4590,"Moucherolle à côtés olive","Contopus cooperi","Passeriformes","Tyrannidae","Contopus","cooperi"
"GRPE","Greater Pewee","Contopus pertinax","CONPER",867,4600,"Moucherolle de Coues","Contopus pertinax","Passeriformes","Tyrannidae","Contopus","pertinax"
"WEWP","Western Wood-Pewee","Contopus sordidulus","CONSOR",868,4620,"Pioui de l'Ouest","Contopus sordidulus","Passeriformes","Tyrannidae","Contopus","sordidulus"
"EAWP","Eastern Wood-Pewee","Contopus virens","CONVIR",869,4610,"Pioui de l'Est","Contopus virens","Passeriformes","Tyrannidae","Contopus","virens"
"YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris","EMPFLT",872,4630,"Moucherolle à ventre jaune","Empidonax flaviventris","Passeriformes","Tyrannidae","Empidonax","flaviventris"
"ACFL","Acadian Flycatcher","Empidonax virescens","EMPVIR",873,4650,"Moucherolle vert","Empidonax virescens","Passeriformes","Tyrannidae","Empidonax","virescens"
"ALFL","Alder Flycatcher","Empidonax alnorum","EMPALN",874,4661,"Moucherolle des aulnes","Empidonax alnorum","Passeriformes","Tyrannidae","Empidonax","alnorum"
"WIFL","Willow Flycatcher","Empidonax traillii","EMPTRA",875,4660,"Moucherolle des saules","Empidonax traillii","Passeriformes","Tyrannidae","Empidonax","traillii"
"LEFL","Least Flycatcher","Empidonax minimus","EMPMIN",878,4670,"Moucherolle tchébec","Empidonax minimus","Passeriformes","Tyrannidae","Empidonax","minimus"
"HAFL","Hammond's Flycatcher","Empidonax hammondii","EMPHAM",879,4680,"Moucherolle de Hammond","Empidonax hammondii","Passeriformes","Tyrannidae","Empidonax","hammondii"
"GRFL","Gray Flycatcher","Empidonax wrightii","EMPWRI",880,4691,"Moucherolle gris","Empidonax wrightii","Passeriformes","Tyrannidae","Empidonax","wrightii"
"DUFL","Dusky Flycatcher","Empidonax oberholseri","EMPOBE",881,4690,"Moucherolle sombre","Empidonax oberholseri","Passeriformes","Tyrannidae","Empidonax","oberholseri"
"PSFL","Pacific-slope Flycatcher","Empidonax difficilis","EMPDIF",884,4641,"Moucherolle côtier","Empidonax difficilis","Passeriformes","Tyrannidae","Empidonax","difficilis"
"COFL","Cordilleran Flycatcher","Empidonax occidentalis","EMPOCC",885,4640,"Moucherolle des ravins","Empidonax occidentalis","Passeriformes","Tyrannidae","Empidonax","occidentalis"
"BBFL","Buff-breasted Flycatcher","Empidonax fulvifrons","EMPFUL",888,4700,"Moucherolle beige","Empidonax fulvifrons","Passeriformes","Tyrannidae","Empidonax","fulvifrons"
"BLPH","Black Phoebe","Sayornis nigricans","SAYNIG",890,4580,"Moucherolle noir","Sayornis nigricans","Passeriformes","Tyrannidae","Sayornis","nigricans"
"EAPH","Eastern Phoebe","Sayornis phoebe","SAYPHO",891,4560,"Moucherolle phébi","Sayornis phoebe","Passeriformes","Tyrannidae","Sayornis","phoebe"
"SAPH","Say's Phoebe","Sayornis saya","SAYSAY",892,4570,"Moucherolle à ventre roux","Sayornis saya","Passeriformes","Tyrannidae","Sayornis","saya"
"VEFL","Vermilion Flycatcher","Pyrocephalus rubinus","PYRRUB",893,4710,"Moucherolle vermillon","Pyrocephalus rubinus","Passeriformes","Tyrannidae","Pyrocephalus","rubinus"
"LOSH","Loggerhead Shrike","Lanius ludovicianus","LANLUD",938,6220,"Pie-grièche migratrice","Lanius ludovicianus","Passeriformes","Laniidae","Lanius","ludovicianus"
"NSHR","Northern Shrike","Lanius borealis","LANBOR",939,6210,"Pie-grièche grise","Lanius excubitor","Passeriformes","Laniidae","Lanius","excubitor"
"BCVI","Black-capped Vireo","Vireo atricapilla","VIRATR",947,6300,"Viréo à tête noire","Vireo atricapilla","Passeriformes","Vireonidae","Vireo","atricapilla"
"WEVI","White-eyed Vireo","Vireo griseus","VIRGRI",949,6310,"Viréo aux yeux blancs","Vireo griseus","Passeriformes","Vireonidae","Vireo","griseus"
"BEVI","Bell's Vireo","Vireo bellii","VIRBEL",954,6330,"Viréo de Bell","Vireo bellii","Passeriformes","Vireonidae","Vireo","bellii"
"GRVI","Gray Vireo","Vireo vicinior","VIRVIC",955,6340,"Viréo gris","Vireo vicinior","Passeriformes","Vireonidae","Vireo","vicinior"
"HUVI","Hutton's Vireo","Vireo huttoni","VIRHUT",956,6320,"Viréo de Hutton","Vireo huttoni","Passeriformes","Vireonidae","Vireo","huttoni"
"YTVI","Yellow-throated Vireo","Vireo flavifrons","VIRFLF",957,6280,"Viréo à gorge jaune","Vireo flavifrons","Passeriformes","Vireonidae","Vireo","flavifrons"
"CAVI","Cassin's Vireo","Vireo cassinii","VIRCAS",958,6291,"Viréo de Cassin","Vireo cassinii","Passeriformes","Vireonidae","Vireo","cassinii"
"BHVI","Blue-headed Vireo","Vireo solitarius","VIRSOL",959,6290,"Viréo à tête bleue","Vireo solitarius","Passeriformes","Vireonidae","Vireo","solitarius"
"PLVI","Plumbeous Vireo","Vireo plumbeus","VIRPLU",962,6292,"Viréo plombé","Vireo plumbeus","Passeriformes","Vireonidae","Vireo","plumbeus"
"PHVI","Philadelphia Vireo","Vireo philadelphicus","VIRPHI",963,6260,"Viréo de Philadelphie","Vireo philadelphicus","Passeriformes","Vireonidae","Vireo","philadelphicus"
"WAVI","Warbling Vireo","Vireo gilvus","VIRGIL",964,6270,"Viréo mélodieux","Vireo gilvus","Passeriformes","Vireonidae","Vireo","gilvus"
"REVI","Red-eyed Vireo","Vireo olivaceus","VIROLI",966,6240,"Viréo aux yeux rouges","Vireo olivaceus","Passeriformes","Vireonidae","Vireo","olivaceus"
"BWVI","Black-whiskered Vireo","Vireo altiloquus","VIRALT",968,6230,"Viréo à moustaches","Vireo altiloquus","Passeriformes","Vireonidae","Vireo","altiloquus"
"GRJA","Green Jay","Cyanocorax yncas","CYAYNC",979,4830,"Geai vert","Cyanocorax yncas","Passeriformes","Corvidae","Cyanocorax","yncas"
"PIJA","Pinyon Jay","Gymnorhinus cyanocephalus","GYMCYA",983,4920,"Geai des pinèdes","Gymnorhinus cyanocephalus","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus"
"STJA","Steller's Jay","Cyanocitta stelleri","CYASTE",984,4780,"Geai de Steller","Cyanocitta stelleri","Passeriformes","Corvidae","Cyanocitta","stelleri"
"BLJA","Blue Jay","Cyanocitta cristata","CYACRI",985,4770,"Geai bleu","Cyanocitta cristata","Passeriformes","Corvidae","Cyanocitta","cristata"
"FLSJ","Florida Scrub-Jay","Aphelocoma coerulescens","APHCOE",986,4790,"Geai à gorge blanche","Aphelocoma coerulescens","Passeriformes","Corvidae","Aphelocoma","coerulescens"
"ISSJ","Island Scrub-Jay","Aphelocoma insularis","APHINS",987,4811,"Geai de Santa Cruz","Aphelocoma insularis","Passeriformes","Corvidae","Aphelocoma","insularis"
"CASJ","California Scrub-Jay","Aphelocoma californica","APHCAL",988,4812,"Geai buissonnier","Aphelocoma californica","Passeriformes","Corvidae","Aphelocoma","californica"
"WOSJ","Woodhouse's Scrub-Jay","Aphelocoma woodhouseii","APHWOO",989,4813,"Geai de Woodhouse","Aphelocoma woodhouseii","Passeriformes","Corvidae","Aphelocoma","woodhouseii"
"MEJA","Mexican Jay","Aphelocoma wollweberi","APHWOL",992,4820,"Geai du Mexique","Aphelocoma wollweberi","Passeriformes","Corvidae","Aphelocoma","wollweberi"
"CLNU","Clark's Nutcracker","Nucifraga columbiana","NUCCOL",994,4910,"Cassenoix d'Amérique","Nucifraga columbiana","Passeriformes","Corvidae","Nucifraga","columbiana"
"BBMA","Black-billed Magpie","Pica hudsonia","PICHUD",995,4750,"Pie d'Amérique","Pica hudsonia","Passeriformes","Corvidae","Pica","hudsonia"
"YBMA","Yellow-billed Magpie","Pica nuttalli","PICNUT",996,4760,"Pie à bec jaune","Pica nuttalli","Passeriformes","Corvidae","Pica","nuttalli"
"AMCR","American Crow","Corvus brachyrhynchos","CORBRA",998,4880,"Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos"
"NOCR","Northwestern Crow","Corvus caurinus","CORCAU",999,4890,"Corneille d'Alaska","Corvus caurinus","Passeriformes","Corvidae","Corvus","caurinus"
"FICR","Fish Crow","Corvus ossifragus","COROSS",1002,4900,"Corneille de rivage","Corvus ossifragus","Passeriformes","Corvidae","Corvus","ossifragus"
"CHRA","Chihuahuan Raven","Corvus cryptoleucus","CORCRY",1005,4870,"Corbeau à cou blanc","Corvus cryptoleucus","Passeriformes","Corvidae","Corvus","cryptoleucus"
"CORA","Common Raven","Corvus corax","CORCOX",1006,4860,"Grand Corbeau","Corvus corax","Passeriformes","Corvidae","Corvus","corax"
"EUSK","Eurasian Skylark","Alauda arvensis","ALAARV",1008,4730,"Alouette des champs","Alauda arvensis","Passeriformes","Alaudidae","Alauda","arvensis"
"HOLA","Horned Lark","Eremophila alpestris","EREALP",1009,4740,"Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
"PUMA","Purple Martin","Progne subis","PROSUB",1010,6110,"Hirondelle noire","Progne subis","Passeriformes","Hirundinidae","Progne","subis"
"TRES","Tree Swallow","Tachycineta bicolor","TACBIC",1016,6140,"Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
"VGSW","Violet-green Swallow","Tachycineta thalassina","TACTHA",1018,6150,"Hirondelle à face blanche","Tachycineta thalassina","Passeriformes","Hirundinidae","Tachycineta","thalassina"
"NRWS","Northern Rough-winged Swallow","Stelgidopteryx serripennis","STESER",1022,6170,"Hirondelle à ailes hérissées","Stelgidopteryx serripennis","Passeriformes","Hirundinidae","Stelgidopteryx","serripennis"
