"stateroute","stops","scale","dir_all","dir_core"
3431,"stops1_25",0.5,0.343763664056859,0.341981135326062
3431,"stops26_50",0.5,0.414696119871263,0.385563992784357
3432,"stops1_25",0.5,0.370671403764051,0.31021613642172
3432,"stops26_50",0.5,0.449952918729078,0.420982716202756
3435,"stops1_25",0.5,0.315061124084837,0.303806396767543
3435,"stops26_50",0.5,0.405573316418212,0.252652889374764
6012,"stops1_25",0.5,0.350756455525168,0.360087332259589
6012,"stops26_50",0.5,0.345029653714526,0.386769968476985
6013,"stops1_25",0.5,0.385379428700022,0.380193185348192
6013,"stops26_50",0.5,0.399611033161529,0.41750701464583
6014,"stops1_25",0.5,0.444698349275401,0.430457659545074
6014,"stops26_50",0.5,0.386729143995953,0.394944389645744
6018,"stops1_25",0.5,0.396275814916339,0.435079773215754
6018,"stops26_50",0.5,0.388396866592004,0.400216170812672
6020,"stops1_25",0.5,0.350610013264737,0.345562453541825
6020,"stops26_50",0.5,0.362230680961617,0.336690980368821
6024,"stops1_25",0.5,0.452021681592734,0.48184700785718
6024,"stops26_50",0.5,0.386101276520995,0.413118878617925
6025,"stops1_25",0.5,0.402535144945865,0.423104691154158
6025,"stops26_50",0.5,0.408660439391284,0.393032793915727
6028,"stops1_25",0.5,0.412236753285502,0.440173423196913
6028,"stops26_50",0.5,0.382493767118935,0.410058324526692
