"aou","propFor","min_for","max_for","patchArea","std_patch","for_range"
4970,0.0969498425555049,0.000191286588059044,0.443440485016853,174.263616919822,495.099744837376,0.443249198428794
4980,0.363730663258265,0.00173172118295406,0.838421671987684,802.111351933182,3604.77836814456,0.83668995080473
5000,0.00012077951096376,0.00012077951096376,0.00012077951096376,6.66666666666667,NA,0
5010,0.356464077163796,0.0205932938640702,0.782444724821236,404.459820311628,1020.34627573621,0.761851430957166
5011,0.143452272994818,0.000178104817256795,0.585235789226759,296.624409894721,1124.66561841941,0.585057684409502
5012,0.0113391086186901,0.000550187354440744,0.026779462086208,29.0450307802296,29.4197240559668,0.0262292747317673
5040,0.134711714346714,0.00193152672668169,0.352107132273724,288.863010115694,350.642221027799,0.350175605547042
5050,0.122912462194857,0.122835203727371,0.122989720662343,158.592184577011,70.8826413142459,0.000154516934971802
5060,0.332747272441643,0.00300881993493149,0.740633353361629,230.999868829683,345.216200407818,0.737624533426697
5070,0.343998610840777,0.00654332244280208,0.822623338298625,397.041916567537,952.698215647537,0.816080015855823
5080,0.186809961096636,6.65388977337804e-05,0.773783607873049,317.228132112812,760.190767534446,0.773717068975315
