"max_bins","stateroute","year_bin","n_years","n_bins"
4,76005,2000,5,4
4,76005,2005,6,4
4,76006,1990,5,4
4,76006,1995,5,4
4,76006,2000,5,4
4,76006,2005,6,4
4,76008,1990,4,4
4,76008,1995,5,4
4,76008,2000,5,4
4,76008,2005,6,4
4,76009,1990,5,4
4,76009,1995,5,4
4,76009,2000,5,4
4,76009,2005,5,4
4,76010,1990,5,4
4,76010,1995,5,4
4,76010,2000,5,4
4,76010,2005,5,4
4,76012,1990,5,4
4,76012,1995,4,4
4,76012,2000,4,4
4,76012,2005,6,4
4,76016,1990,3,4
4,76016,1995,3,4
4,76016,2000,5,4
4,76016,2005,5,4
4,76018,1990,4,4
4,76018,1995,4,4
4,76018,2000,4,4
4,76018,2005,5,4
4,76021,1990,4,4
4,76021,1995,5,4
4,76021,2000,4,4
4,76021,2005,6,4
4,76022,1990,5,4
4,76022,1995,5,4
4,76022,2000,5,4
4,76022,2005,6,4
4,76039,1990,5,4
4,76039,1995,5,4
4,76039,2000,5,4
4,76039,2005,6,4
4,76060,1990,5,4
4,76060,1995,5,4
4,76060,2000,5,4
4,76060,2005,5,4
4,76127,1990,5,4
4,76127,1995,5,4
4,76127,2000,5,4
4,76127,2005,5,4
4,76237,1990,5,4
4,76237,1995,5,4
4,76237,2000,3,4
4,76237,2005,5,4
4,76302,1990,3,4
4,76302,1995,5,4
4,76302,2000,5,4
4,76302,2005,6,4
4,76306,1990,5,4
4,76306,1995,5,4
4,76306,2000,5,4
4,76306,2005,6,4
4,76309,1990,4,4
4,76309,1995,4,4
4,76309,2000,5,4
4,76309,2005,6,4
4,79024,1990,5,4
4,79024,1995,4,4
4,79024,2000,5,4
4,79024,2005,5,4
4,79032,1990,5,4
4,79032,1995,4,4
4,79032,2000,3,4
4,79032,2005,6,4
4,79033,1990,5,4
4,79033,1995,5,4
4,79033,2000,5,4
4,79033,2005,6,4
4,79042,1990,4,4
4,79042,1995,5,4
4,79042,2000,4,4
4,79042,2005,5,4
4,79113,1990,5,4
4,79113,1995,5,4
4,79113,2000,4,4
4,79113,2005,6,4
4,79123,1990,5,4
4,79123,1995,5,4
4,79123,2000,5,4
4,79123,2005,5,4
4,79130,1990,4,4
4,79130,1995,3,4
4,79130,2000,4,4
4,79130,2005,6,4
4,79132,1990,4,4
4,79132,1995,3,4
4,79132,2000,5,4
4,79132,2005,6,4
4,79133,1990,4,4
4,79133,1995,4,4
4,79133,2000,5,4
4,79133,2005,6,4
4,79142,1990,4,4
4,79142,1995,5,4
4,79142,2000,5,4
4,79142,2005,6,4
4,79217,1990,3,4
4,79217,1995,3,4
4,79217,2000,5,4
4,79217,2005,3,4
4,93010,1990,5,4
4,93010,1995,3,4
4,93010,2000,4,4
4,93010,2005,4,4
5,2001,1992,4,5
5,2001,1997,5,5
5,2001,2002,5,5
5,2001,2007,5,5
5,2001,2012,5,5
5,2007,1992,5,5
5,2007,1997,5,5
5,2007,2002,4,5
5,2007,2007,5,5
5,2007,2012,4,5
5,2008,1992,4,5
5,2008,1997,4,5
5,2008,2002,3,5
5,2008,2007,3,5
5,2008,2012,4,5
5,2010,1992,5,5
5,2010,1997,5,5
5,2010,2002,4,5
5,2010,2007,5,5
5,2010,2012,5,5
5,2014,1992,5,5
5,2014,1997,5,5
5,2014,2002,4,5
5,2014,2007,4,5
5,2014,2012,5,5
5,2017,1992,5,5
5,2017,1997,5,5
5,2017,2002,5,5
5,2017,2007,4,5
5,2017,2012,3,5
5,2019,1992,5,5
5,2019,1997,5,5
5,2019,2002,5,5
5,2019,2007,5,5
5,2019,2012,4,5
5,2020,1992,5,5
5,2020,1997,5,5
5,2020,2002,4,5
5,2020,2007,5,5
5,2020,2012,4,5
5,2022,1992,5,5
5,2022,1997,5,5
5,2022,2002,5,5
5,2022,2007,4,5
5,2022,2012,5,5
5,2024,1992,3,5
5,2024,1997,4,5
5,2024,2002,5,5
5,2024,2007,5,5
5,2024,2012,5,5
5,2025,1992,5,5
5,2025,1997,4,5
5,2025,2002,5,5
5,2025,2007,5,5
5,2025,2012,5,5
5,2029,1992,4,5
5,2029,1997,5,5
5,2029,2002,5,5
5,2029,2007,5,5
5,2029,2012,4,5
5,2033,1992,5,5
5,2033,1997,5,5
5,2033,2002,5,5
5,2033,2007,3,5
5,2033,2012,3,5
5,2035,1992,4,5
5,2035,1997,5,5
5,2035,2002,5,5
5,2035,2007,4,5
5,2035,2012,4,5
5,2036,1992,5,5
5,2036,1997,4,5
5,2036,2002,4,5
5,2036,2007,5,5
5,2036,2012,4,5
5,2038,1992,3,5
5,2038,1997,5,5
5,2038,2002,5,5
5,2038,2007,4,5
5,2038,2012,4,5
5,2043,1992,5,5
5,2043,1997,5,5
5,2043,2002,5,5
5,2043,2007,5,5
5,2043,2012,5,5
5,2045,1992,5,5
5,2045,1997,5,5
5,2045,2002,5,5
5,2045,2007,5,5
5,2045,2012,5,5
5,2046,1992,5,5
5,2046,1997,4,5
5,2046,2002,3,5
5,2046,2007,3,5
5,2046,2012,3,5
5,2047,1992,5,5
5,2047,1997,5,5
5,2047,2002,5,5
5,2047,2007,5,5
5,2047,2012,5,5
5,2050,1992,5,5
5,2050,1997,5,5
5,2050,2002,5,5
5,2050,2007,5,5
5,2050,2012,5,5
5,2052,1992,4,5
5,2052,1997,4,5
5,2052,2002,5,5
5,2052,2007,4,5
5,2052,2012,4,5
5,2053,1992,5,5
5,2053,1997,5,5
5,2053,2002,5,5
5,2053,2007,4,5
5,2053,2012,4,5
5,2054,1992,5,5
5,2054,1997,4,5
5,2054,2002,4,5
5,2054,2007,4,5
5,2054,2012,4,5
5,2057,1992,4,5
5,2057,1997,5,5
5,2057,2002,5,5
5,2057,2007,5,5
5,2057,2012,5,5
5,2059,1992,3,5
5,2059,1997,5,5
5,2059,2002,5,5
5,2059,2007,5,5
5,2059,2012,5,5
5,2060,1992,4,5
5,2060,1997,5,5
5,2060,2002,5,5
5,2060,2007,5,5
5,2060,2012,5,5
5,2065,1992,4,5
5,2065,1997,5,5
5,2065,2002,5,5
5,2065,2007,5,5
5,2065,2012,4,5
5,2066,1992,4,5
5,2066,1997,5,5
5,2066,2002,5,5
5,2066,2007,4,5
5,2066,2012,4,5
5,2072,1992,4,5
5,2072,1997,5,5
5,2072,2002,5,5
5,2072,2007,5,5
5,2072,2012,5,5
5,2105,1992,3,5
5,2105,1997,5,5
5,2105,2002,5,5
5,2105,2007,5,5
5,2105,2012,5,5
5,2111,1992,4,5
5,2111,1997,3,5
5,2111,2002,5,5
5,2111,2007,5,5
5,2111,2012,5,5
5,2140,1992,5,5
5,2140,1997,5,5
5,2140,2002,5,5
5,2140,2007,5,5
5,2140,2012,3,5
5,2142,1992,3,5
5,2142,1997,5,5
5,2142,2002,5,5
5,2142,2007,5,5
5,2142,2012,3,5
5,3003,1992,5,5
5,3003,1997,5,5
5,3003,2002,5,5
5,3003,2007,5,5
5,3003,2012,3,5
5,3008,1992,3,5
5,3008,1997,3,5
5,3008,2002,5,5
5,3008,2007,5,5
5,3008,2012,5,5
5,3010,1992,5,5
5,3010,1997,4,5
5,3010,2002,5,5
5,3010,2007,5,5
5,3010,2012,5,5
5,3011,1992,3,5
5,3011,1997,4,5
5,3011,2002,5,5
5,3011,2007,5,5
5,3011,2012,5,5
5,3015,1992,4,5
5,3015,1997,5,5
5,3015,2002,4,5
5,3015,2007,4,5
5,3015,2012,3,5
5,3021,1992,5,5
5,3021,1997,4,5
5,3021,2002,5,5
5,3021,2007,5,5
5,3021,2012,4,5
5,3041,1992,5,5
5,3041,1997,5,5
5,3041,2002,5,5
5,3041,2007,5,5
5,3041,2012,5,5
5,3115,1992,4,5
5,3115,1997,5,5
5,3115,2002,5,5
